State Code,County Code,Site Num,POC,Latitude,Longitude,Date Local,Time Local,PM25,Press,RH,Temp,Wind Speed,Wind Direction
06,037,1103,9,34.06659,-118.22688,2016-04-01,00:00,14,1007,77,56.1,3.7,67
06,037,1103,9,34.06659,-118.22688,2016-04-01,01:00,13,1007,77,55.2,2.9,60
06,037,1103,9,34.06659,-118.22688,2016-04-01,02:00,11,1007,74,54.300000000000004,2.6,40
06,037,1103,9,34.06659,-118.22688,2016-04-01,03:00,9,1007,74,53.5,3.3000000000000003,27
06,037,1103,9,34.06659,-118.22688,2016-04-01,04:00,14,1007,75,53,2,28
06,037,1103,9,34.06659,-118.22688,2016-04-01,05:00,13,1007,76,52.4,3.5,34
06,037,1103,9,34.06659,-118.22688,2016-04-01,06:00,16,1008,72,53.800000000000004,4,32
06,037,1103,9,34.06659,-118.22688,2016-04-01,07:00,14,1008,66,57.300000000000004,4.3,35
06,037,1103,9,34.06659,-118.22688,2016-04-01,08:00,14,1009,58,61.5,2,83
06,037,1103,9,34.06659,-118.22688,2016-04-01,09:00,13,1009,51,63.9,2.3000000000000003,180
06,037,1103,9,34.06659,-118.22688,2016-04-01,10:00,11,1008,46,66.5,3,204
06,037,1103,9,34.06659,-118.22688,2016-04-01,11:00,16,1008,39,69.8,2.4,207
06,037,1103,9,34.06659,-118.22688,2016-04-01,12:00,16,1007,45,70.8,5.6000000000000005,237
06,037,1103,9,34.06659,-118.22688,2016-04-01,13:00,17,1007,50,70.2,6.5,242
06,037,1103,9,34.06659,-118.22688,2016-04-01,14:00,18,1007,53,69.2,6.7,252
06,037,1103,9,34.06659,-118.22688,2016-04-01,15:00,20,1007,53,68.3,7.1000000000000005,253
06,037,1103,9,34.06659,-118.22688,2016-04-01,16:00,19,1007,51,67.8,7,258
06,037,1103,9,34.06659,-118.22688,2016-04-01,17:00,14,1007,53,66.3,6.6000000000000005,261
06,037,1103,9,34.06659,-118.22688,2016-04-01,18:00,15,1007,58,63.6,4.6000000000000005,263
06,037,1103,9,34.06659,-118.22688,2016-04-01,19:00,10,1007,67,62.300000000000004,2.6,243
06,037,1103,9,34.06659,-118.22688,2016-04-01,20:00,20,1008,74,60.6,5.4,192
06,037,1103,9,34.06659,-118.22688,2016-04-01,21:00,19,1009,76,59.800000000000004,2.8000000000000003,185
06,037,1103,9,34.06659,-118.22688,2016-04-01,22:00,17,1009,76,59.9,1,164
06,037,1103,9,34.06659,-118.22688,2016-04-01,23:00,21,1009,77,58.800000000000004,2,24
06,037,1103,9,34.06659,-118.22688,2016-04-02,00:00,18,1009,78,57.9,1.4000000000000001,10
06,037,1103,9,34.06659,-118.22688,2016-04-02,01:00,22,1009,78,57.300000000000004,2.7,30
06,037,1103,9,34.06659,-118.22688,2016-04-02,02:00,24,1009,79,56.6,2.2,47
06,037,1103,9,34.06659,-118.22688,2016-04-02,03:00,21,1009,80,55.800000000000004,2.9,29
06,037,1103,9,34.06659,-118.22688,2016-04-02,04:00,18,1009,81,54.9,3.1,33
06,037,1103,9,34.06659,-118.22688,2016-04-02,05:00,20,1009,81,54.5,3.2,43
06,037,1103,9,34.06659,-118.22688,2016-04-02,06:00,18,1010,76,55.800000000000004,2.9,44
06,037,1103,9,34.06659,-118.22688,2016-04-02,07:00,22,1010,68,59.800000000000004,2.4,49
06,037,1103,9,34.06659,-118.22688,2016-04-02,08:00,24,1010,57,64.7,1.7,49
06,037,1103,9,34.06659,-118.22688,2016-04-02,09:00,29,1010,46,69.60000000000001,1.3,150
06,037,1103,9,34.06659,-118.22688,2016-04-02,10:00,20,1010,42,72.2,3.3000000000000003,199
06,037,1103,9,34.06659,-118.22688,2016-04-02,11:00,28,1009,40,75,3.9,230
06,037,1103,9,34.06659,-118.22688,2016-04-02,12:00,30,1008,45,74.9,7.2,261
06,037,1103,9,34.06659,-118.22688,2016-04-02,13:00,28,1008,44,74.10000000000001,8.2,263
06,037,1103,9,34.06659,-118.22688,2016-04-02,14:00,28,1007,39,74.3,7.4,253
06,037,1103,9,34.06659,-118.22688,2016-04-02,15:00,21,1007,38,74.7,7.4,255
06,037,1103,9,34.06659,-118.22688,2016-04-02,16:00,18,1006,41,72.60000000000001,7,256
06,037,1103,9,34.06659,-118.22688,2016-04-02,17:00,12,1006,46,70.3,6.9,254
06,037,1103,9,34.06659,-118.22688,2016-04-02,18:00,12,1006,53,67.7,4.5,256
06,037,1103,9,34.06659,-118.22688,2016-04-02,19:00,15,1006,64,66,3.3000000000000003,267
06,037,1103,9,34.06659,-118.22688,2016-04-02,20:00,20,1007,68,65,3.7,262
06,037,1103,9,34.06659,-118.22688,2016-04-02,21:00,21,1007,72,64.2,2.8000000000000003,200
